filename;fullpath;modified_utc;size_mb
pom1m_20180807T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180807T234500.CSV;2018-08-07 23:45:28;0.156
pom1m_20180808T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180808T234500.CSV;2018-08-08 23:45:54;0.334
pom1m_20180809T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180809T234500.CSV;2018-08-09 23:45:33;0.194
pom1m_20180810T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180810T234500.CSV;2018-08-10 23:45:55;0.325
pom1m_20180811T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180811T234500.CSV;2018-08-11 23:45:55;0.325
pom1m_20180812T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180812T234500.CSV;2018-08-12 23:45:55;0.325
pom1m_20180813T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180813T234500.CSV;2018-08-13 23:45:55;0.324
pom1m_20180814T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180814T234500.CSV;2018-08-14 23:45:55;0.325
pom1m_20180815T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180815T234500.CSV;2018-08-15 23:45:54;0.324
pom1m_20180816T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180816T234500.CSV;2018-08-16 23:45:54;0.324
pom1m_20180817T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180817T234500.CSV;2018-08-17 23:45:55;0.324
pom1m_20180818T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180818T234500.CSV;2018-08-18 23:45:55;0.325
pom1m_20180819T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180819T234500.CSV;2018-08-19 23:45:55;0.324
pom1m_20180820T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180820T234500.CSV;2018-08-20 23:45:55;0.324
pom1m_20180821T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180821T234500.CSV;2018-08-21 23:45:55;0.324
pom1m_20180822T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180822T234500.CSV;2018-08-22 23:45:54;0.322
pom1m_20180823T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180823T234500.CSV;2018-08-23 23:45:55;0.324
pom1m_20180824T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180824T234500.CSV;2018-08-24 23:45:55;0.325
pom1m_20180825T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180825T234500.CSV;2018-08-25 23:45:55;0.324
pom1m_20180826T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180826T234500.CSV;2018-08-26 23:46:01;0.324
pom1m_20180827T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180827T234500.CSV;2018-08-27 23:45:55;0.324
pom1m_20180828T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180828T234500.CSV;2018-08-28 23:45:54;0.325
pom1m_20180829T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180829T234500.CSV;2018-08-29 23:45:55;0.323
pom1m_20180830T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180830T234500.CSV;2018-09-02 07:42:24;0.325
pom1m_20180831T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180831T234500.CSV;2018-09-02 07:21:43;0.325
pom1m_20180901T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180901T234500.CSV;2018-09-02 07:31:33;0.325
pom1m_20180902T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\pom1m_20180902T234500.CSV;2018-09-02 23:45:55;0.325
pom1m_20180903T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180903T234500.CSV;2018-09-03 23:45:56;0.324
pom1m_20180904T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180904T234500.CSV;2018-09-04 23:45:55;0.325
pom1m_20180905T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180905T234500.CSV;2018-09-05 23:45:55;0.325
pom1m_20180906T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180906T234500.CSV;2018-09-06 23:45:55;0.325
pom1m_20180907T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180907T234500.CSV;2018-09-07 23:45:55;0.325
pom1m_20180908T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180908T234500.CSV;2018-09-08 23:45:55;0.324
pom1m_20180909T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180909T234500.CSV;2018-09-09 23:45:55;0.324
pom1m_20180910T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180910T234500.CSV;2018-09-10 23:45:55;0.325
pom1m_20180911T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180911T234500.CSV;2018-09-11 23:45:55;0.325
pom1m_20180912T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180912T234500.CSV;2018-09-12 23:45:55;0.325
pom1m_20180913T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180913T234500.CSV;2018-09-13 23:45:56;0.325
pom1m_20180914T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180914T234500.CSV;2018-09-14 23:45:55;0.325
pom1m_20180915T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180915T234500.CSV;2018-09-15 23:45:56;0.325
pom1m_20180916T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180916T234500.CSV;2018-09-16 23:45:55;0.324
pom1m_20180917T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180917T234500.CSV;2018-09-17 23:45:55;0.325
pom1m_20180918T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180918T234500.CSV;2018-09-18 23:45:55;0.324
pom1m_20180919T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180919T234500.CSV;2018-09-19 23:45:55;0.324
pom1m_20180920T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180920T234500.CSV;2018-09-20 23:45:56;0.325
pom1m_20180921T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180921T234500.CSV;2018-09-21 23:45:55;0.324
pom1m_20180922T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180922T234500.CSV;2018-09-22 23:45:55;0.325
pom1m_20180923T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180923T234500.CSV;2018-09-23 23:45:55;0.325
pom1m_20180924T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180924T234500.CSV;2018-09-24 23:45:54;0.324
pom1m_20180925T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180925T234500.CSV;2018-09-25 23:45:55;0.323
pom1m_20180926T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180926T234500.CSV;2018-09-26 23:45:55;0.324
pom1m_20180927T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180927T234500.CSV;2018-09-27 23:45:55;0.325
pom1m_20180928T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180928T234500.CSV;2018-09-28 23:45:55;0.325
pom1m_20180929T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180929T234500.CSV;2018-09-29 23:45:54;0.323
pom1m_20180930T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20180930T234500.CSV;2018-09-30 23:45:54;0.322
pom1m_20181001T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\current3\DT85W_top\pom1m_20181001T234500.CSV;2018-10-01 23:45:54;0.324
