filename;fullpath;modified_utc;size_mb
plytki_calib_20180529T000029.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180529T000029.CSV;2018-05-31 10:39:59;0.018
plytki_calib_20180529T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180529T234553.CSV;2018-05-29 23:45:56;0.003
plytki_calib_20180529T234927.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180529T234927.CSV;2018-06-01 10:28:55;0.005
plytki_calib_20180530T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180530T234553.CSV;2018-06-02 10:27:16;0.003
plytki_calib_20180531T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180531T234553.CSV;2018-06-03 10:27:12;0.004
plytki_calib_20180601T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180601T234553.CSV;2018-06-04 10:27:12;0.003
plytki_calib_20180605T234621.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180605T234621.CSV;2018-06-05 23:46:24;0.003
plytki_calib_20180606T234554.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180606T234554.CSV;2018-06-06 23:45:57;0.003
plytki_calib_20180607T234548.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180607T234548.CSV;2018-06-07 23:45:52;0.003
plytki_calib_20180608T234552.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180608T234552.CSV;2018-06-08 23:45:55;0.003
plytki_calib_20180609T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180609T234553.CSV;2018-06-09 23:45:57;0.003
plytki_calib_20180610T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180610T234553.CSV;2018-06-10 23:45:57;0.003
plytki_calib_20180611T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180611T234553.CSV;2018-06-11 23:45:57;0.003
plytki_calib_20180612T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180612T234553.CSV;2018-06-12 23:45:56;0.003
plytki_calib_20180613T234554.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180613T234554.CSV;2018-06-13 23:45:58;0.003
plytki_calib_20180614T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180614T234553.CSV;2018-06-14 23:45:57;0.003
plytki_calib_20180615T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180615T234553.CSV;2018-06-15 23:45:57;0.003
plytki_calib_20180616T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180616T234553.CSV;2018-06-16 23:45:57;0.003
plytki_calib_20180617T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180617T234553.CSV;2018-06-17 23:45:57;0.003
plytki_calib_20180618T234552.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180618T234552.CSV;2018-06-18 23:45:56;0.003
plytki_calib_20180619T234553.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180619T234553.CSV;2018-06-19 23:45:57;0.003
plytki_calib_20180620T234554.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180620T234554.CSV;2018-06-20 23:45:57;0.003
plytki_calib_20180622T001414.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180622T001414.CSV;2018-06-22 00:14:24;0.038
plytki_calib_20180622T234551.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180622T234551.CSV;2018-06-22 23:45:54;0.003
plytki_calib_20180623T234552.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180623T234552.CSV;2018-06-23 23:45:55;0.003
plytki_calib_20180624T234552.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\plytki_calib_20180624T234552.CSV;2018-06-24 23:45:54;0.003
