filename;fullpath;modified_utc;size_mb
pom1m_20180528T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180528T234501.CSV;2018-05-31 10:36:21;4.477
pom1m_20180529T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180529T234500.CSV;2018-06-01 10:26:51;0.91
pom1m_20180530T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180530T234500.CSV;2018-06-02 10:26:58;0.264
pom1m_20180531T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180531T234500.CSV;2018-06-03 10:26:58;0.266
pom1m_20180601T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180601T234501.CSV;2018-06-04 10:26:59;0.265
pom1m_20180605T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180605T234500.CSV;2018-06-05 23:46:08;0.413
pom1m_20180606T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180606T234500.CSV;2018-06-06 23:45:44;0.265
pom1m_20180607T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180607T234500.CSV;2018-06-07 23:45:40;0.239
pom1m_20180608T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180608T234501.CSV;2018-06-08 23:45:44;0.265
pom1m_20180609T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180609T234500.CSV;2018-06-09 23:45:44;0.265
pom1m_20180610T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180610T234501.CSV;2018-06-10 23:45:44;0.265
pom1m_20180611T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180611T234500.CSV;2018-06-11 23:45:44;0.265
pom1m_20180612T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180612T234500.CSV;2018-06-12 23:45:43;0.264
pom1m_20180613T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180613T234500.CSV;2018-06-13 23:45:45;0.264
pom1m_20180614T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180614T234500.CSV;2018-06-14 23:45:44;0.265
pom1m_20180615T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180615T234500.CSV;2018-06-15 23:45:44;0.264
pom1m_20180616T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180616T234500.CSV;2018-06-16 23:45:44;0.265
pom1m_20180617T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180617T234501.CSV;2018-06-17 23:45:44;0.265
pom1m_20180618T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180618T234501.CSV;2018-06-18 23:45:44;0.265
pom1m_20180619T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180619T234500.CSV;2018-06-19 23:45:45;0.265
pom1m_20180620T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180620T234501.CSV;2018-06-20 23:45:44;0.265
pom1m_20180621T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180621T234500.CSV;2018-06-22 00:11:50;10.158
pom1m_20180622T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180622T234501.CSV;2018-06-22 23:45:42;0.26
pom1m_20180623T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180623T234500.CSV;2018-06-23 23:45:43;0.265
pom1m_20180624T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180624T234500.CSV;2018-06-24 23:45:43;0.265
pom1m_20180625T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180625T234500.CSV;2018-06-25 23:45:44;0.264
pom1m_20180626T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180626T234501.CSV;2018-06-26 23:45:43;0.265
pom1m_20180627T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180627T234501.CSV;2018-06-27 23:45:44;0.265
pom1m_20180628T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180628T234501.CSV;2018-06-28 23:45:43;0.265
pom1m_20180629T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180629T234500.CSV;2018-06-29 23:45:44;0.265
pom1m_20180630T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180630T234501.CSV;2018-06-30 23:45:44;0.265
pom1m_20180701T234501.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180701T234501.CSV;2018-07-01 23:45:43;0.265
pom1m_20180702T234500.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\pom1m_20180702T234500.CSV;2018-07-02 23:45:44;0.265
