filename;fullpath;modified_utc;size_mb
deszcz_d_20180528T235833.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180528T235833.CSV;2018-05-31 10:39:27;0.232
deszcz_d_20180529T234541.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180529T234541.CSV;2018-05-29 23:45:51;0.016
deszcz_d_20180529T234903.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180529T234903.CSV;2018-06-01 10:28:47;0.049
deszcz_d_20180530T234544.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180530T234544.CSV;2018-06-02 10:27:06;0.016
deszcz_d_20180531T234541.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180531T234541.CSV;2018-06-03 10:27:06;0.016
deszcz_d_20180601T234542.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180601T234542.CSV;2018-06-04 10:27:06;0.016
deszcz_d_20180605T234609.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180605T234609.CSV;2018-06-05 23:46:18;0.024
deszcz_d_20180606T234545.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180606T234545.CSV;2018-06-06 23:45:52;0.016
deszcz_d_20180607T234541.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180607T234541.CSV;2018-06-07 23:45:46;0.015
deszcz_d_20180608T234544.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180608T234544.CSV;2018-06-08 23:45:51;0.016
deszcz_d_20180609T234544.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180609T234544.CSV;2018-06-09 23:45:51;0.016
deszcz_d_20180610T234544.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85_down\deszcz_d_20180610T234544.CSV;2018-06-10 23:45:52;0.016
