filename;fullpath;modified_utc;size_mb
deszcz_20180524T235354.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180524T235354.CSV;2018-05-24 23:55:44;0.016
deszcz_20180525T235354.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180525T235354.CSV;2018-05-25 23:55:38;0.016
deszcz_20180526T235358.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180526T235358.CSV;2018-05-26 23:55:41;0.015
deszcz_20180527T235358.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180527T235358.CSV;2018-05-27 23:55:42;0.016
deszcz_20180528T235359.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180528T235359.CSV;2018-05-28 23:55:50;0.016
deszcz_20180529T235401.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180529T235401.CSV;2018-05-29 23:55:52;0.016
deszcz_20180530T235359.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180530T235359.CSV;2018-05-30 23:55:43;0.016
deszcz_20180531T235358.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180531T235358.CSV;2018-05-31 23:55:56;0.016
deszcz_20180601T235357.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180601T235357.CSV;2018-06-01 23:55:42;0.016
deszcz_20180602T235356.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180602T235356.CSV;2018-06-02 23:55:41;0.016
deszcz_20180603T235357.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180603T235357.CSV;2018-06-03 23:55:41;0.016
deszcz_20180604T235357.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180604T235357.CSV;2018-06-04 23:56:01;0.016
deszcz_20180605T235358.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180605T235358.CSV;2018-06-05 23:55:43;0.016
deszcz_20180606T235358.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180606T235358.CSV;2018-06-06 23:55:42;0.016
deszcz_20180607T235306.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180607T235306.CSV;2018-06-07 23:54:41;0.015
deszcz_20180608T235356.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180608T235356.CSV;2018-06-08 23:55:40;0.016
deszcz_20180609T235356.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180609T235356.CSV;2018-06-09 23:55:41;0.016
deszcz_20180610T235401.CSV;D:\sites\ME\dT_ME\ThermoFisher\20180903\DT85W_top\deszcz_20180610T235401.CSV;2018-06-10 23:55:45;0.016
