filename;fullpath;modified_utc;size_mb
plytki_calib_20180802T234559.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180802T234559.CSV;2018-08-03 11:45:54;0.003
plytki_calib_20180731T234522.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180731T234522.CSV;2018-08-03 11:54:57;0.002
plytki_calib_20180801T234521.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180801T234521.CSV;2018-08-03 12:05:12;0.002
plytki_calib_20180803T234604.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180803T234604.CSV;2018-08-03 21:46:12;0.003
plytki_calib_20180804T234604.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180804T234604.CSV;2018-08-04 21:46:08;0.003
plytki_calib_20180805T234604.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180805T234604.CSV;2018-08-05 21:46:10;0.003
plytki_calib_20180806T234603.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180806T234603.CSV;2018-08-06 21:46:07;0.003
plytki_calib_20180807T234604.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180807T234604.CSV;2018-08-07 21:46:07;0.003
plytki_calib_20180808T234604.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180808T234604.CSV;2018-08-08 21:46:07;0.003
plytki_calib_20180809T234604.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180809T234604.CSV;2018-08-09 21:46:07;0.003
plytki_calib_20180810T234604.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180810T234604.CSV;2018-08-10 21:46:07;0.003
plytki_calib_20180811T234604.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180811T234604.CSV;2018-08-11 21:46:07;0.003
plytki_calib_20180812T234604.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\plytki_calib_20180812T234604.CSV;2018-08-12 21:46:08;0.003
