filename;fullpath;modified_utc;size_mb
pom1m_20180802T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180802T234501.CSV;2018-08-03 11:45:51;0.333
pom1m_20180731T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180731T234501.CSV;2018-08-03 11:54:55;0.107
pom1m_20180801T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180801T234501.CSV;2018-08-03 12:05:09;0.104
pom1m_20180803T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180803T234501.CSV;2018-08-03 21:45:55;0.333
pom1m_20180804T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180804T234501.CSV;2018-08-04 21:45:55;0.333
pom1m_20180805T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180805T234501.CSV;2018-08-05 21:45:55;0.334
pom1m_20180806T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180806T234501.CSV;2018-08-06 21:45:54;0.334
pom1m_20180807T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180807T234501.CSV;2018-08-07 21:45:55;0.334
pom1m_20180808T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180808T234501.CSV;2018-08-08 21:45:55;0.333
pom1m_20180809T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180809T234501.CSV;2018-08-09 21:45:55;0.333
pom1m_20180810T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180810T234501.CSV;2018-08-10 21:45:55;0.333
pom1m_20180811T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180811T234501.CSV;2018-08-11 21:45:55;0.334
pom1m_20180812T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180812T234501.CSV;2018-08-12 21:45:55;0.334
pom1m_20180813T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180813T234501.CSV;2018-08-13 21:45:55;0.334
pom1m_20180814T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180814T234501.CSV;2018-08-14 21:45:56;0.334
pom1m_20180815T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180815T234501.CSV;2018-08-15 21:45:54;0.334
pom1m_20180816T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180816T234501.CSV;2018-08-16 21:45:55;0.332
pom1m_20180817T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180817T234501.CSV;2018-08-17 21:45:54;0.333
pom1m_20180818T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180818T234501.CSV;2018-08-18 21:45:55;0.333
pom1m_20180819T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180819T234501.CSV;2018-08-19 21:45:55;0.333
pom1m_20180820T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180820T234501.CSV;2018-08-20 21:45:54;0.332
pom1m_20180821T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180821T234501.CSV;2018-08-21 21:45:54;0.333
pom1m_20180822T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180822T234501.CSV;2018-08-22 21:45:22;0.132
pom1m_20180823T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180823T234501.CSV;2018-08-23 21:45:55;0.332
pom1m_20180824T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180824T234501.CSV;2018-08-24 21:45:54;0.333
pom1m_20180825T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180825T234501.CSV;2018-08-25 21:45:54;0.334
pom1m_20180826T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180826T234501.CSV;2018-08-26 21:45:53;0.333
pom1m_20180827T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180827T234501.CSV;2018-08-27 21:45:55;0.333
pom1m_20180828T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180828T234501.CSV;2018-09-20 10:03:26;0.134
pom1m_20180829T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180829T234501.CSV;2018-09-20 10:12:12;0.33
pom1m_20180830T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180830T234501.CSV;2018-09-20 10:12:45;0.33
pom1m_20180920T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180920T234501.CSV;2018-09-20 22:03:36;6.952
pom1m_20180921T234502.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180921T234502.CSV;2018-09-21 21:45:53;0.332
pom1m_20180922T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180922T234501.CSV;2018-09-22 21:45:53;0.332
pom1m_20180923T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180923T234501.CSV;2018-09-23 21:45:53;0.331
pom1m_20180924T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180924T234501.CSV;2018-09-24 21:45:55;0.33
pom1m_20180925T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180925T234501.CSV;2018-09-25 21:45:53;0.331
pom1m_20180926T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180926T234501.CSV;2018-09-26 21:45:53;0.331
pom1m_20180927T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180927T234501.CSV;2018-09-27 21:45:53;0.332
pom1m_20180928T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180928T234501.CSV;2018-09-28 21:45:53;0.331
pom1m_20180929T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180929T234501.CSV;2018-09-29 21:45:52;0.33
pom1m_20180930T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20180930T234501.CSV;2018-09-30 21:45:52;0.33
pom1m_20181001T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181001T234501.CSV;2018-10-01 21:45:53;0.33
pom1m_20181002T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181002T234501.CSV;2018-10-02 21:45:53;0.329
pom1m_20181003T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181003T234501.CSV;2018-10-03 21:45:52;0.329
pom1m_20181004T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181004T234501.CSV;2018-10-04 21:45:52;0.329
pom1m_20181005T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181005T234501.CSV;2018-10-05 21:45:52;0.33
pom1m_20181006T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181006T234501.CSV;2018-10-06 21:45:52;0.329
pom1m_20181007T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181007T234501.CSV;2018-10-07 21:45:52;0.33
pom1m_20181008T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181008T234501.CSV;2018-10-08 21:45:52;0.329
pom1m_20181009T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181009T234501.CSV;2018-10-09 21:45:52;0.33
pom1m_20181010T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181010T234501.CSV;2018-10-10 21:45:52;0.329
pom1m_20181011T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181011T234501.CSV;2018-10-11 21:45:52;0.331
pom1m_20181012T234501.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\pom1m_20181012T234501.CSV;2018-10-12 21:45:51;0.33
