filename;fullpath;modified_utc;size_mb
deszcz_d_20180802T234551.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180802T234551.CSV;2018-08-03 11:45:52;0.016
deszcz_d_20180731T234518.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180731T234518.CSV;2018-08-03 11:54:56;0.007
deszcz_d_20180801T234517.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180801T234517.CSV;2018-08-03 12:05:10;0.007
deszcz_d_20180803T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180803T234555.CSV;2018-08-03 21:46:03;0.016
deszcz_d_20180804T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180804T234555.CSV;2018-08-04 21:46:03;0.016
deszcz_d_20180805T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180805T234555.CSV;2018-08-05 21:46:03;0.016
deszcz_d_20180806T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180806T234555.CSV;2018-08-06 21:46:05;0.016
deszcz_d_20180807T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180807T234556.CSV;2018-08-07 21:46:02;0.016
deszcz_d_20180808T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180808T234555.CSV;2018-08-08 21:46:02;0.016
deszcz_d_20180809T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180809T234556.CSV;2018-08-09 21:46:03;0.016
deszcz_d_20180810T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180810T234555.CSV;2018-08-10 21:46:02;0.016
deszcz_d_20180811T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180811T234555.CSV;2018-08-11 21:46:02;0.016
deszcz_d_20180812T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180812T234555.CSV;2018-08-12 21:46:02;0.016
deszcz_d_20180813T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180813T234556.CSV;2018-08-13 21:46:03;0.016
deszcz_d_20180814T234552.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180814T234552.CSV;2018-08-14 21:46:10;0.016
deszcz_d_20180815T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180815T234556.CSV;2018-08-15 21:46:02;0.016
deszcz_d_20180816T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180816T234556.CSV;2018-08-16 21:46:03;0.016
deszcz_d_20180817T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180817T234555.CSV;2018-08-17 21:46:02;0.016
deszcz_d_20180818T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180818T234556.CSV;2018-08-18 21:46:03;0.016
deszcz_d_20180819T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180819T234556.CSV;2018-08-19 21:46:03;0.016
deszcz_d_20180820T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180820T234555.CSV;2018-08-20 21:46:02;0.016
deszcz_d_20180821T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180821T234555.CSV;2018-08-21 21:46:01;0.016
deszcz_d_20180822T234523.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180822T234523.CSV;2018-08-22 21:45:27;0.008
deszcz_d_20180823T234551.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180823T234551.CSV;2018-08-23 21:46:01;0.016
deszcz_d_20180824T234551.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180824T234551.CSV;2018-08-24 21:46:03;0.016
deszcz_d_20180825T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180825T234555.CSV;2018-08-25 21:46:02;0.017
deszcz_d_20180826T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180826T234555.CSV;2018-08-26 21:46:01;0.016
deszcz_d_20180827T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180827T234556.CSV;2018-08-27 21:46:03;0.016
deszcz_d_20180828T234522.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180828T234522.CSV;2018-09-20 10:03:27;0.008
deszcz_d_20180829T234551.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180829T234551.CSV;2018-09-20 10:12:39;0.016
deszcz_d_20180830T234551.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180830T234551.CSV;2018-09-20 10:12:46;0.016
deszcz_d_20180921T000341.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180921T000341.CSV;2018-09-20 22:05:10;0.247
deszcz_d_20180921T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180921T234556.CSV;2018-09-21 21:46:01;0.016
deszcz_d_20180922T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180922T234556.CSV;2018-09-22 21:46:01;0.016
deszcz_d_20180923T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180923T234556.CSV;2018-09-23 21:46:01;0.016
deszcz_d_20180924T234557.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180924T234557.CSV;2018-09-24 21:46:03;0.017
deszcz_d_20180925T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180925T234556.CSV;2018-09-25 21:46:01;0.016
deszcz_d_20180926T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180926T234555.CSV;2018-09-26 21:46:01;0.016
deszcz_d_20180927T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180927T234555.CSV;2018-09-27 21:46:00;0.017
deszcz_d_20180928T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180928T234556.CSV;2018-09-28 21:46:00;0.016
deszcz_d_20180929T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180929T234555.CSV;2018-09-29 21:46:00;0.016
deszcz_d_20180930T234555.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20180930T234555.CSV;2018-09-30 21:46:00;0.016
deszcz_d_20181001T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20181001T234556.CSV;2018-10-01 21:46:00;0.016
deszcz_d_20181002T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20181002T234556.CSV;2018-10-02 21:46:00;0.016
deszcz_d_20181003T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20181003T234556.CSV;2018-10-03 21:46:00;0.017
deszcz_d_20181004T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20181004T234556.CSV;2018-10-04 21:46:00;0.016
deszcz_d_20181005T234556.CSV;D:\sites\TR\dT_TR\ThermoFisher\current1\deszcz_d_20181005T234556.CSV;2018-10-05 21:46:00;0.016
