filename;fullpath;modified_utc;size_mb
plytki_calib_20180801T234520.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180801T234520.CSV;2018-08-01 21:45:25;0.002
plytki_calib_20180802T234546.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180802T234546.CSV;2018-08-02 21:45:51;0.003
plytki_calib_20180803T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180803T234547.CSV;2018-08-03 21:45:52;0.003
plytki_calib_20180804T234546.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180804T234546.CSV;2018-08-04 21:45:52;0.003
plytki_calib_20180805T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180805T234547.CSV;2018-08-05 21:45:52;0.003
plytki_calib_20180806T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180806T234547.CSV;2018-08-06 21:45:51;0.003
plytki_calib_20180807T234546.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180807T234546.CSV;2018-08-07 21:45:52;0.003
plytki_calib_20180808T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180808T234547.CSV;2018-08-08 21:45:51;0.003
plytki_calib_20180809T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180809T234547.CSV;2018-08-09 21:45:52;0.003
plytki_calib_20180810T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180810T234547.CSV;2018-08-10 21:45:52;0.003
plytki_calib_20180811T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180811T234547.CSV;2018-08-11 21:45:51;0.003
plytki_calib_20180812T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180812T234547.CSV;2018-08-12 21:45:51;0.003
plytki_calib_20180813T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180813T234547.CSV;2018-08-13 21:45:51;0.003
plytki_calib_20180814T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180814T234547.CSV;2018-08-14 21:45:51;0.003
plytki_calib_20180815T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180815T234547.CSV;2018-08-15 21:45:51;0.003
plytki_calib_20180816T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180816T234547.CSV;2018-08-16 21:45:51;0.003
plytki_calib_20180817T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180817T234547.CSV;2018-08-17 21:45:51;0.003
plytki_calib_20180818T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180818T234547.CSV;2018-08-18 21:45:51;0.003
plytki_calib_20180819T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180819T234547.CSV;2018-08-19 21:45:51;0.003
plytki_calib_20180820T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180820T234547.CSV;2018-08-20 21:45:56;0.003
plytki_calib_20180821T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180821T234547.CSV;2018-08-21 21:45:51;0.003
plytki_calib_20180822T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180822T234547.CSV;2018-08-22 21:45:51;0.003
plytki_calib_20180823T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180823T234547.CSV;2018-08-23 21:45:50;0.003
plytki_calib_20180824T234548.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180824T234548.CSV;2018-08-24 21:45:51;0.003
plytki_calib_20180825T234548.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180825T234548.CSV;2018-08-25 21:45:51;0.003
plytki_calib_20180826T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180826T234547.CSV;2018-08-26 21:45:50;0.003
plytki_calib_20180827T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180827T234547.CSV;2018-08-27 21:45:50;0.003
plytki_calib_20180828T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180828T234547.CSV;2018-08-28 21:45:50;0.003
plytki_calib_20180829T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180829T234547.CSV;2018-08-29 21:45:50;0.003
plytki_calib_20180830T234548.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180830T234548.CSV;2018-08-30 21:45:51;0.003
plytki_calib_20180831T234548.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180831T234548.CSV;2018-08-31 21:45:51;0.003
plytki_calib_20180901T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180901T234547.CSV;2018-09-01 21:45:50;0.003
plytki_calib_20180902T234547.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180902T234547.CSV;2018-09-02 21:45:49;0.003
plytki_calib_20180903T234548.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\plytki_calib_20180903T234548.CSV;2018-09-03 21:45:50;0.003
