filename;fullpath;modified_utc;size_mb
pom1m_20180801T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180801T234500.CSV;2018-08-01 21:45:21;0.117
pom1m_20180802T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180802T234500.CSV;2018-08-02 21:45:46;0.306
pom1m_20180803T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180803T234500.CSV;2018-08-03 21:45:46;0.306
pom1m_20180804T234501.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180804T234501.CSV;2018-08-04 21:45:46;0.306
pom1m_20180805T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180805T234500.CSV;2018-08-05 21:45:46;0.306
pom1m_20180806T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180806T234500.CSV;2018-08-06 21:45:46;0.306
pom1m_20180807T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180807T234500.CSV;2018-08-07 21:45:46;0.306
pom1m_20180808T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180808T234500.CSV;2018-08-08 21:45:46;0.306
pom1m_20180809T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180809T234500.CSV;2018-08-09 21:45:46;0.306
pom1m_20180810T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180810T234500.CSV;2018-08-10 21:45:46;0.306
pom1m_20180811T234501.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180811T234501.CSV;2018-08-11 21:45:46;0.306
pom1m_20180812T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180812T234500.CSV;2018-08-12 21:45:46;0.306
pom1m_20180813T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180813T234500.CSV;2018-08-13 21:45:45;0.306
pom1m_20180814T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180814T234500.CSV;2018-08-14 21:45:46;0.306
pom1m_20180815T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180815T234500.CSV;2018-08-15 21:45:46;0.306
pom1m_20180816T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180816T234500.CSV;2018-08-16 21:45:45;0.306
pom1m_20180817T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180817T234500.CSV;2018-08-17 21:45:46;0.306
pom1m_20180818T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180818T234500.CSV;2018-08-18 21:45:45;0.306
pom1m_20180819T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180819T234500.CSV;2018-08-19 21:45:45;0.306
pom1m_20180820T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180820T234500.CSV;2018-08-20 21:45:45;0.306
pom1m_20180821T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180821T234500.CSV;2018-08-21 21:45:46;0.306
pom1m_20180822T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180822T234500.CSV;2018-08-22 21:45:45;0.306
pom1m_20180823T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180823T234500.CSV;2018-08-23 21:45:45;0.306
pom1m_20180824T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180824T234500.CSV;2018-08-24 21:45:46;0.306
pom1m_20180825T234500.CSV;D:\sites\TR2\dT_TR2\ThermoFisher\current1\pom1m_20180825T234500.CSV;2018-08-25 21:45:46;0.307
